,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014
,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III
      Motor vehicle and parts manufacturing,12026,11924,11879,12146,12294,13091,12808,12907,13151,13668,13430,14224,14141,13645,13740,13405,12867,12725,12445,12087,12288,12412,12755,12845,12983,12977,13066,13106,13321,13407,13514,13453,13870,13803,13620,13692,13850,14008,14005,14043,13822,13601,13723,13449,13230,12638,11994,11788,11805,11022,10787,10841,11182,11132,11221,11489,11418,12020,12214,12579,12732,12839,13236,13202,13229,13010,13006,12890,12908,13245,13581
      Other transportation equipment manufacturing,7721,7939,8951,8590,10065,9624,9928,10539,10309,10097,10219,9499,8936,9965,9747,10484,9755,9284,9342,9624,9089,8667,8129,8123,7774,7753,7562,7463,7700,8059,8283,8592,8824,9036,9064,9376,9423,9794,10694,10164,10411,10735,10724,11536,11794,11720,11683,12312,12221,11385,11236,11039,11135,10776,10318,10407,10071,10095,10000,10660,10583,10883,10885,11076,11494,11536,12496,12841,13571,14038,13455
    Furniture and related product manufacturing,3935,4081,4082,4127,4091,4146,4127,4106,4140,4162,4131,4252,4183,4321,4394,4384,4512,4351,4223,4124,4173,4160,4165,4266,4198,4231,4073,4103,3960,4160,4226,4177,4139,4222,4255,4350,4397,4370,4405,4435,4397,4493,4469,4471,4402,4351,4240,4154,4005,3948,3835,3842,3770,3782,3826,3773,3749,3799,3763,3755,3695,3776,3729,3695,3602,3612,3585,3602,3637,3716,3719
    Miscellaneous durable goods manufacturing,6374,6419,6497,6612,6691,6817,7007,7110,7247,7141,7247,7265,7273,7239,7361,7406,7477,7518,7287,7342,7271,7257,7330,7165,7108,7154,7215,7177,7023,7157,7066,7044,7073,7159,7367,7460,7493,7479,7576,7609,7675,7686,7754,7836,7297,7231,7713,7972,7995,8152,8030,7929,7967,7954,8068,8236,8198,8226,8300,8360,8381,8356,8340,8219,8167,8050,7899,7901,7944,8101,8141
  Nondurable goods industries,88454,88482,89234,89940,90704,89694,89659,89059,90024,90981,91528,93110,92413,92001,91802,90260,89789,89294,89156,88742,87676,88263,89540,89602,89598,89094,88277,87645,87852,87141,87455,87810,89251,88767,88278,89129,89736,90423,91271,90244,89372,91190,91526,89788,91360,92370,90916,85741,84508,84591,83933,85446,84965,82695,83632,85110,84657,84419,83397,84790,84444,85048,85417,84162,82968,82077,82767,82727,82214,82851,82892
    Food manufacturing,14879,14881,15207,15204,15383,15223,15177,15198,15525,15849,15642,16142,16050,15781,15759,15445,15182,15097,15216,15174,14929,15303,15374,15294,15555,15531,15007,15149,15035,14411,14693,14665,14764,15222,15647,15635,15702,15786,15775,15726,14956,16331,15863,15156,15392,15483,14652,14930,15084,15523,15167,15625,15179,15156,15311,15250,14371,14392,14439,15134,15303,15417,15348,15002,14027,14079,13970,14090,13798,13716,13943
    Beverage and tobacco product manufacturing,8500,8622,8511,8365,8543,8455,8556,8444,8305,8215,8076,8152,7817,7762,7750,7437,7434,7646,7570,7634,7660,7670,7631,7723,7420,7459,7522,7314,7263,7240,7316,7179,7135,7237,7380,7283,7225,7292,7227,7271,7120,7058,6833,6747,6710,6651,6677,6554,6595,6622,6644,6754,6737,6627,6612,6583,6559,6558,6625,6690,6789,6769,6714,6788,6721,6768,6900,6767,6887,6869,6851
    Textile mills,2546,2492,2508,2542,2553,2506,2433,2407,2402,2469,2493,2486,2413,2369,2375,2343,2239,2222,2254,2130,2097,2073,2118,2057,2092,2075,2047,2036,2053,2047,2045,2067,2067,2053,2045,2039,2036,2014,2039,1998,2016,2033,1960,1975,1948,1935,1897,1894,1790,1749,1696,1658,1684,1665,1691,1704,1691,1701,1684,1665,1638,1614,1604,1621,1625,1639,1655,1666,1673,1644,1658
    Textile product mills,1423,1410,1420,1395,1370,1370,1339,1324,1367,1390,1384,1411,1441,1550,1618,1649,1653,1684,1664,1655,1515,1441,1397,1269,1287,1273,1246,1266,1279,1285,1306,1308,1338,1373,1337,1363,1368,1370,1378,1353,1340,1324,1329,1363,1387,1376,1407,1374,1242,1180,1162,1166,1158,1197,1253,1266,1192,1155,1108,1065,1079,1085,1070,1104,1115,1099,1121,1158,1162,1175,1183
    Apparel manufacturing,3253,3277,3268,3168,3246,3165,3067,3065,3067,3095,3103,3113,3072,2964,2959,2892,2810,2612,2480,2342,2318,2280,2279,2301,2307,2293,2228,2200,2197,2216,2245,2210,2188,2171,2153,2139,2126,2094,2112,2117,2103,2106,2075,2093,2070,2062,2042,2015,1992,1987,1943,1928,1902,1890,1895,1893,1898,1900,1916,1930,1949,1981,2003,2033,2053,2069,2088,2112,2151,2203,2243
    Leather and allied product manufacturing,591,634,645,648,624,635,664,617,612,614,588,591,589,584,549,552,574,591,569,510,511,484,465,468,466,473,469,469,470,477,473,480,477,464,469,492,459,489,517,532,523,505,526,513,511,496,498,500,519,495,483,463,456,456,463,460,466,476,473,479,485,489,517,519,515,498,489,486,484,469,468
    Paper manufacturing,9935,9526,9630,9916,9829,9873,9767,9439,9692,9834,10340,10340,10326,10184,10022,9862,9813,9679,9670,9590,9712,9899,10161,10397,10174,10125,10013,9900,9767,9992,10032,9969,10012,9981,9944,9959,10023,9948,9926,9946,9987,10015,10040,10108,10109,10082,9938,9804,9603,9440,9549,9180,9145,9270,9158,9152,9171,9042,9126,9109,9068,9050,8919,8812,8708,8640,8616,8609,8671,8650,8702
    Printing and related support activities,2697,2646,2471,2726,2639,2487,2482,2268,2402,2398,2593,2677,2765,2506,2532,2460,2549,2432,2296,2396,2392,2608,2608,2641,2595,2583,2575,2529,2552,2558,2586,2574,2586,2648,2489,2516,2537,2615,2577,2548,2484,2578,2704,2843,2815,2656,2504,2495,2319,2240,2329,2294,2264,2332,2341,2378,2372,2364,2341,2261,2292,2257,2184,2142,2103,2083,2106,2117,2117,2197,2214
    Petroleum and coal product manufacturing,9315,9138,9039,9391,9421,8595,8840,9019,9369,8921,9202,9332,8952,9292,8812,8308,8692,9283,9345,9690,9257,9319,9327,9098,9457,9814,10227,9908,10486,10104,10153,10389,10923,10121,10395,10862,10798,11221,11784,10736,10701,11192,12002,11136,12212,13808,13142,9680,9794,9941,9902,11213,11150,9182,10025,10892,11188,11312,10147,10629,10469,10994,11507,10624,10715,10150,10606,10593,9994,10523,10236
    Chemical manufacturing,24945,25385,26065,26015,26570,26434,26669,26856,26858,27393,27064,27746,27970,28174,28642,28623,28373,28135,28182,28163,28053,27873,28674,28564,28546,27958,27450,27331,27208,27264,26832,27108,27533,27543,26525,26844,27262,27099,27379,27650,27668,27426,27340,27203,27322,26241,27232,26466,26066,26000,25799,25754,25673,25675,25556,25834,25871,25709,25896,25969,25650,25506,25576,25654,25471,25486,25512,25390,25838,25913,25924
    Plastics and rubber product manufacturing,9148,9278,9357,9502,9527,9589,9543,9643,9734,9855,10086,10202,10075,10107,9976,9854,9754,9472,9594,9350,8966,9021,9252,9450,9498,9372,9489,9478,9608,9572,9736,9869,10288,10008,9954,10032,10258,10499,10513,10420,10466,10506,10527,10568,10564,10545,10416,10049,9632,9588,9471,9431,9627,9637,9606,9811,9911,9769,10016,10055,9979,9949,9880,10029,10097,9877,9913,9936,9854,9779,9825
